0,1,N-Z,N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,BETA_DECAYENERGY,dBETA_DECAYENERGY,ATOMICMASS,dATOMICMASS,IsCalculated
1741,,23,80,57,137,La,-87140.865,1.64,8381.8807,0.012,-1222.1,1.6,136906450.4,1.76,0
1742,,21,79,58,137,Ce,-85918.765,0.36,8367.2497,0.0026,-2716.9515,8.1328,136907762.4,0.386,0
1743,,19,78,59,137,Pr,-83201.814,8.135,8341.7074,0.0594,-3617.8447,14.2706,136910679.2,8.733,0
1744,,17,77,60,137,Nd,-79583.969,11.725,8309.5892,0.0856,-5511.1108,17.5366,136914563.1,12.586,0
1745,,15,76,61,137,Pm,-74072.858,13.041,8263.6516,0.0952,-6081.2029,31.446,136920479.5,14,0
1746,,13,75,62,137,Sm,-67991.655,28.614,8213.5527,0.2089,-7845.7518,28.9474,136927008,30.718,0
1747,,11,74,63,137,Eu,-60145.904,4.378,8150.5738,0.032,-8932,298,136935430.7,4.7,0
1748,,9,73,64,137,Gd,-51214,298,8080,2,-10246,499,136945020,320,1
1749,,7,72,65,137,Tb,-40967,401,7999,3,,,136956020,430,1
1750,0,38,88,50,138,Sn,-45510,400,8118,3,9140,500,137951143,429,1
1751,,36,87,51,138,Sb,-54650,300,8178,2,11046,300,137941331,322,1
1752,,34,86,52,138,Te,-65695.995,3.787,8252.5786,0.0274,6283.9149,7.0625,137929472.5,4.065,0
1753,,32,85,53,138,I,-71979.91,5.962,8292.445,0.0432,7992.3346,6.5881,137922726.4,6.4,0
1754,,30,84,54,138,Xe,-79972.244,2.804,8344.6913,0.0203,2914.7839,9.578,137914146.3,3.01,0
1755,,28,83,55,138,Cs,-82887.028,9.158,8360.1437,0.0664,5374.7776,9.1584,137911017.1,9.831,0
1756,,26,82,56,138,Ba,-88261.806,0.249,8393.4222,0.0018,-1748.3977,0.3384,137905247.1,0.267,0
1757,,24,81,57,138,La,-86513.408,0.416,8375.0835,0.003,1052.4585,0.4018,137907124,0.446,0
1758,,22,80,58,138,Ce,-87565.867,0.499,8377.0408,0.0036,-4437,10,137905994.2,0.536,0
1759,,20,79,59,138,Pr,-83128.867,10.012,8339.2195,0.0726,-1111.6847,15.3256,137910757.5,10.748,0
1760,,18,78,60,138,Nd,-82017.182,11.603,8325.4946,0.0841,-7102.8119,16.0995,137911950.9,12.456,0
1761,,16,77,61,138,Pm,-74914.37,11.603,8268.3558,0.0841,-3416.5976,16.5613,137919576.1,12.456,0
1762,,14,76,62,138,Sm,-71497.772,11.817,8237.9286,0.0856,-9748.0968,30.3408,137923244,12.686,0
1763,,12,75,63,138,Eu,-61749.676,27.945,8161.6211,0.2025,-6090,202,137933709,30,0
1764,,10,74,64,138,Gd,-55660,200,8112,1,-12059,361,137940247,215,1
1765,,8,73,65,138,Tb,-43600,300,8019,2,-8669,586,137953193,322,1
1766,,6,72,66,138,Dy,-34931,503,7950,4,,,137962500,540,1
1767,0,39,89,50,139,Sn,-39310,400,8073,3,10740,565,138957799,429,1
1768,,37,88,51,139,Sb,-50050,400,8144,3,10155,400,138946269,429,1
1769,,35,87,52,139,Te,-60205.08,3.54,8211.7716,0.0255,8265.8835,5.3454,138935367.2,3.8,0
1770,,33,86,53,139,I,-68470.964,4.005,8265.61,0.0288,7173.6224,4.5424,138926493.4,4.3,0
1771,,31,85,54,139,Xe,-75644.586,2.142,8311.5904,0.0154,5056.5023,3.796,138918792.2,2.3,0
1772,,29,84,55,139,Cs,-80701.088,3.134,8342.3397,0.0225,4212.8293,3.1235,138913363.8,3.364,0
1773,,27,83,56,139,Ba,-84913.918,0.253,8367.0194,0.0018,2308.4632,0.6571,138908841.2,0.271,0
1774,,25,82,57,139,La,-87222.381,0.607,8377.9987,0.0044,-264.6396,1.9989,138906362.9,0.651,0
1775,,23,81,58,139,Ce,-86957.741,2.089,8370.4664,0.015,-2129.089,2.9962,138906647,2.242,0
1776,,21,80,59,139,Pr,-84828.652,3.649,8349.5208,0.0263,-2811.7226,27.6166,138908932.7,3.917,0
1777,,19,79,60,139,Nd,-82016.93,27.521,8323.6642,0.198,-4515.9014,25.87,138911951.2,29.545,0
1778,,17,78,61,139,Pm,-77501.028,13.588,8285.5473,0.0978,-5120.7993,17.4098,138916799.2,14.587,0
1779,,15,77,62,139,Sm,-72380.229,10.884,8243.0786,0.0783,-6982.1777,17.0705,138922296.6,11.684,0
1780,,13,76,63,139,Eu,-65398.051,13.151,8187.2187,0.0946,-7767,196,138929792.3,14.117,0
1781,,11,75,64,139,Gd,-57632,196,8126,1,-9501,357,138938130,210,1
1782,,9,74,65,139,Tb,-48130,298,8052,2,-10430,582,138948330,320,1
1783,,7,73,66,139,Dy,-37700,500,7971,4,,,138959527,537,1
1784,0,40,90,50,140,Sn,-34490,300,8038,2,9900,671,139962973,322,1
1785,,38,89,51,140,Sb,-44390,600,8103,4,11977,600,139952345,644,1
1786,,36,88,52,140,Te,-56367.449,14.377,8183.3567,0.1027,7238.7734,18.7976,139939487.1,15.434,0
1787,,34,87,53,140,I,-63606.223,12.109,8229.474,0.0865,9380.2388,12.3313,139931715.9,13,0
1788,,32,86,54,140,Xe,-72986.461,2.329,8290.8875,0.0166,4063.2768,8.5232,139921645.8,2.5,0
1789,,30,85,55,140,Cs,-77049.738,8.199,8314.3227,0.0586,6218.1669,9.8671,139917283.7,8.801,0
1790,,28,84,56,140,Ba,-83267.905,7.9,8353.15,0.0564,1044.1542,7.9051,139910608.2,8.48,0
1791,,26,83,57,140,La,-84312.059,0.607,8355.0201,0.0043,3762.1676,1.3364,139909487.3,0.651,0
1792,,24,82,58,140,Ce,-88074.227,1.313,8376.3045,0.0094,-3388,6,139905448.4,1.409,0
1793,,22,81,59,140,Pr,-84686.227,6.142,8346.5163,0.0439,-428.9806,6.9536,139909085.6,6.593,0
1794,,20,80,60,140,Nd,-84257.246,3.26,8337.864,0.0233,-6045.2,24,139909546.1,3.5,0
1795,,18,79,61,140,Pm,-78212.046,24.22,8289.0958,0.173,-2756.101,27.2546,139916035.9,26.001,0
1796,,16,78,62,140,Sm,-75455.945,12.497,8263.8211,0.0893,-8470,50,139918994.7,13.416,0
1797,,14,77,63,140,Eu,-66985.945,51.538,8197.733,0.3681,-5203.6675,58.6268,139928087.6,55.328,0
1798,,12,76,64,140,Gd,-61782.278,27.945,8154.9757,0.1996,-11300,800,139933674,30,0
1799,,10,75,65,140,Tb,-50482.278,800.488,8068.6732,5.7178,-7652,895,139945805,859.359,0
1800,,8,74,66,140,Dy,-42830,401,8008,3,-13513,641,139954020,430,1
1801,,6,73,67,140,Ho,-29317,500,7906,4,,,139968526,537,1
1802,0,39,90,51,141,Sb,-39540,500,8069,4,11129,640,140957552,537,1
1803,,37,89,52,141,Te,-50670,400,8142,3,9257,400,140945604,429,1
1804,,35,88,53,141,I,-59926.666,15.835,8202.2562,0.1123,8270.643,16.0965,140935666.1,17,0
1805,,33,87,54,141,Xe,-68197.309,2.888,8255.3647,0.0205,6280.0423,9.6378,140926787.2,3.1,0
1806,,31,86,55,141,Cs,-74477.351,9.195,8294.3554,0.0652,5255.141,9.6174,140920045.3,9.871,0
1807,,29,85,56,141,Ba,-79732.492,5.318,8326.0774,0.0377,3197.3515,6.551,140914403.7,5.709,0
1808,,27,84,57,141,La,-82929.844,4.127,8343.205,0.0293,2501.2141,3.9279,140910971.2,4.43,0
1809,,25,83,58,141,Ce,-85431.058,1.315,8355.3956,0.0093,583.4758,1.1784,140908286,1.411,0
1810,,23,82,59,141,Pr,-86014.533,1.498,8353.9852,0.0106,-1823.0137,2.809,140907659.6,1.607,0
1811,,21,81,60,141,Nd,-84191.52,3.183,8335.5074,0.0226,-3668.5879,14.3304,140909616.7,3.417,0
1812,,19,80,61,141,Pm,-80522.932,13.972,8303.9405,0.0991,-4588.9724,16.373,140913555.1,15,0
1813,,17,79,62,141,Sm,-75933.959,8.535,8265.846,0.0605,-6008.3127,14.2829,140918481.5,9.162,0
1814,,15,78,63,141,Eu,-69925.647,12.639,8217.6853,0.0896,-6701.4161,23.4562,140924931.7,13.568,0
1815,,13,77,64,141,Gd,-63224.231,19.76,8164.609,0.1401,-8683.388,107.0975,140932126,21.213,0
1816,,11,76,65,141,Tb,-54540.843,105.259,8097.4761,0.7465,-9158,316,140941448,113,0
1817,,9,75,66,141,Dy,-45382,298,8027,2,-11018,499,140951280,320,1
1818,,7,74,67,141,Ho,-34364,401,7943,3,,,140963108,430,1
1819,0,40,91,51,142,Sb,-33610,300,8027,2,12939,583,141963918,322,1
1820,,38,90,52,142,Te,-46550,500,8113,4,8253,500,141950027,537,1
1821,,36,89,53,142,I,-54802.969,4.937,8165.2517,0.0348,10426.6792,5.6276,141941166.6,5.3,0
1822,,34,88,54,142,Xe,-65229.648,2.701,8233.1695,0.019,5284.9078,7.5655,141929973.1,2.9,0
1823,,32,87,55,142,Cs,-70514.556,7.067,8264.8777,0.0498,7327.7007,8.3627,141924299.5,7.586,0
1824,,30,86,56,142,Ba,-77842.257,5.92,8310.9718,0.0417,2181.6932,8.3754,141916432.9,6.355,0
1825,,28,85,57,142,La,-80023.95,6.286,8320.8263,0.0443,4508.9455,5.8446,141914090.8,6.748,0
1826,,26,84,58,142,Ce,-84532.896,2.443,8347.07,0.0172,-746.5288,2.4868,141909250.2,2.623,0
1827,,24,83,59,142,Pr,-83786.367,1.498,8336.3032,0.0106,2163.6885,1.3656,141910051.6,1.607,0
1828,,22,82,60,142,Nd,-85950.055,1.256,8346.031,0.0088,-4808.5196,23.6216,141907728.8,1.348,0
1829,,20,81,61,142,Pm,-81141.536,23.596,8306.6587,0.1662,-2159.6062,23.6524,141912891,25.33,0
1830,,18,80,62,142,Sm,-78981.93,1.866,8285.9407,0.0131,-7673,30,141915209.4,2.002,0
1831,,16,79,63,142,Eu,-71308.93,30.058,8226.396,0.2117,-4349.4074,41.0414,141923446.7,32.268,0
1832,,14,78,64,142,Gd,-66959.522,27.945,8190.2569,0.1968,-10400,700,141928116,30,0
1833,,12,77,65,142,Tb,-56559.522,700.558,8111.508,4.9335,-6440,200,141939280.9,752.079,0
1834,,10,76,66,142,Dy,-50120,729,8061,5,-12869,831,141946194,782,1
1835,,8,75,67,142,Ho,-37250,401,7965,3,-9321,641,141960010,430,1
1836,,6,74,68,142,Er,-27930,500,7893,4,,,141970016,537,1
1837,0,39,91,52,143,Te,-40530,500,8070,3,10259,539,142956489,537,1
1838,,37,90,53,143,I,-50790,200,8137,1,9413,200,142945475,215,1
1839,,35,89,54,143,Xe,-60202.882,4.657,8196.8855,0.0326,7472.6365,8.8908,142935369.6,5,0
1840,,33,88,55,143,Cs,-67675.519,7.573,8243.6707,0.053,6261.6865,9.7303,142927347.3,8.13,0
1841,,31,87,56,143,Ba,-73937.205,6.756,8281.9878,0.0472,4234.2623,9.9682,142920625.1,7.253,0
1842,,29,86,57,143,La,-78171.467,7.329,8306.1271,0.0513,3434.9108,7.5812,142916079.5,7.868,0
1843,,27,85,58,143,Ce,-81606.378,2.442,8324.6765,0.0171,1461.8214,1.8649,142912392,2.621,0
1844,,25,84,59,143,Pr,-83068.2,1.816,8329.428,0.0127,934.1107,1.3673,142910822.6,1.949,0
1845,,23,83,60,143,Nd,-84002.31,1.255,8330.4893,0.0088,-1041.6463,2.683,142909819.8,1.347,0
1846,,21,82,61,143,Pm,-82960.664,2.944,8317.7341,0.0206,-3443.5291,3.5604,142910938.1,3.16,0
1847,,19,81,62,143,Sm,-79517.135,2.75,8288.1825,0.0192,-5275.824,11.3245,142914634.8,2.951,0
1848,,17,80,63,143,Eu,-74241.311,10.986,8245.8177,0.0768,-6010,200,142920298.7,11.793,0
1849,,15,79,64,143,Gd,-68231.311,200.301,8198.3188,1.4007,-7812.1185,206.7497,142926750.7,215.032,0
1850,,13,78,65,143,Tb,-60419.192,51.232,8138.2176,0.3583,-8250.2433,52.8659,142935137.3,55,0
1851,,11,77,66,143,Dy,-52168.949,13.041,8075.0527,0.0912,-10121,298,142943994.3,14,0
1852,,9,76,67,143,Ho,-42048,298,7999,2,-10887,499,142954860,320,1
1853,,7,75,68,143,Er,-31160,400,7917,3,,,142966548,429,1
1854,0,40,92,52,144,Te,-36220,300,8040,2,9110,500,143961116,322,1
1855,,38,91,53,144,I,-45330,400,8098,3,11542,400,143951336,429,1
1856,,36,90,54,144,Xe,-56872.301,5.31,8172.8845,0.0369,6399.0606,20.8203,143938945.1,5.7,0
1857,,34,89,55,144,Cs,-63271.362,20.132,8211.8894,0.1398,8495.7679,20.4163,143932075.4,21.612,0
1858,,32,88,56,144,Ba,-71767.13,7.136,8265.4549,0.0496,3082.53,14.7744,143922954.8,7.661,0
1859,,30,87,57,144,La,-74849.66,12.937,8281.4283,0.0898,5582.2823,13.2432,143919645.6,13.888,0
1860,,28,86,58,144,Ce,-80431.942,2.833,8314.7612,0.0197,318.6462,0.8321,143913652.8,3.041,0
1861,,26,85,59,144,Pr,-80750.588,2.708,8311.5411,0.0188,2997.44,2.4,143913310.7,2.907,0
1862,,24,84,60,144,Nd,-83748.028,1.255,8326.9237,0.0087,-2331.9117,2.6464,143910092.8,1.346,0
1863,,22,83,61,144,Pm,-81416.116,2.912,8305.2969,0.0202,549.5096,2.6679,143912596.2,3.126,0
1864,,20,82,62,144,Sm,-81965.626,1.459,8303.68,0.0101,-6346.4515,10.8092,143912006.3,1.566,0
1865,,18,81,63,144,Eu,-75619.175,10.787,8254.1744,0.0749,-3859.6633,29.9546,143918819.5,11.58,0
1866,,16,80,64,144,Gd,-71759.511,27.945,8221.9382,0.1941,-9391.3235,39.5199,143922963,30,0
1867,,14,79,65,144,Tb,-62368.188,27.945,8151.2877,0.1941,-5798.0965,28.8506,143933045,30,0
1868,,12,78,66,144,Dy,-56570.091,7.173,8105.5902,0.0498,-11960.5706,11.1039,143939269.5,7.7,0
1869,,10,77,67,144,Ho,-44609.521,8.477,8017.0977,0.0589,-8002,196,143952109.7,9.1,0
1870,,8,76,68,144,Er,-36608,196,7956,1,-14448,445,143960700,210,1
1871,,6,75,69,144,Tm,-22159,400,7850,3,,,143976211,429,1
1872,0,41,93,52,145,Te,-30010,300,7998,2,11120,583,144967783,322,1
1873,,39,92,53,145,I,-41130,500,8069,3,10363,500,144955845,537,1
1874,,37,91,54,145,Xe,-51493.337,11.178,8135.0877,0.0771,8561.0867,14.3929,144944719.6,12,0
1875,,35,90,55,145,Cs,-60054.424,9.067,8188.7342,0.0625,7461.7591,12.4121,144935528.9,9.733,0
1876,,33,89,56,145,Ba,-67516.183,8.477,8234.7991,0.0585,5319.1425,14.9122,144927518.4,9.1,0
1877,,31,88,57,145,La,-72835.325,12.269,8266.0873,0.0846,4231.7331,35.2977,144921808.1,13.17,0
1878,,29,87,58,145,Ce,-77067.059,33.9,8289.8762,0.2338,2558.9318,33.6347,144917265.1,36.393,0
1879,,27,86,59,145,Pr,-79625.99,7.149,8302.1285,0.0493,1806.014,7.037,144914518,7.674,0
1880,,25,85,60,145,Nd,-81432.004,1.271,8309.1883,0.0088,-164.4982,2.5361,144912579.2,1.364,0
1881,,23,84,61,145,Pm,-81267.506,2.805,8302.6583,0.0193,-616.099,2.539,144912755.7,3.011,0
1882,,21,83,62,145,Sm,-80651.407,1.485,8293.0139,0.0102,-2659.8832,2.7224,144913417.2,1.594,0
1883,,19,82,63,145,Eu,-77991.524,3.06,8269.2744,0.0211,-5064.8984,19.9521,144916272.7,3.285,0
1884,,17,81,64,145,Gd,-72926.626,19.716,8228.9485,0.136,-6526.9329,109.7144,144921710.1,21.165,0
1885,,15,80,65,145,Tb,-66399.693,110.896,8178.5397,0.7648,-8157.0853,111.0872,144928717,119.051,0
1886,,13,79,66,145,Dy,-58242.607,6.52,8116.8884,0.045,-9122.4943,9.9019,144937474,7,0
1887,,11,78,67,145,Ho,-49120.113,7.452,8048.5792,0.0514,-9880,200,144947267.4,8,0
1888,,9,77,68,145,Er,-39240,200,7975,1,-11657,280,144957874,215,1
1889,,7,76,69,145,Tm,-27583,196,7889,1,,,144970389,210,1
1890,0,40,93,53,146,I,-35540,300,8031,2,12415,301,145961846,322,1
1891,,38,92,54,146,Xe,-47954.95,24.219,8110.4154,0.1659,7355.4298,24.3911,145948518.2,26,0
1892,,36,91,55,146,Cs,-55310.38,2.893,8155.4365,0.0198,9555.8882,3.3918,145940621.9,3.106,0
1893,,34,90,56,146,Ba,-64866.269,1.77,8215.5293,0.0121,4354.9052,2.4366,145930363.2,1.9,0
1894,,32,89,57,146,La,-69221.174,1.675,8239.9988,0.0115,6404.6947,14.7146,145925688,1.797,0
1895,,30,88,58,146,Ce,-75625.868,14.665,8278.5081,0.1004,1047.6178,32.4842,145918812.3,15.743,0
1896,,28,87,59,146,Pr,-76673.486,34.356,8280.325,0.2353,4252.43,34.3686,145917687.6,36.882,0
1897,,26,86,60,146,Nd,-80925.916,1.273,8304.0927,0.0087,-1471.556,4.1194,145913122.5,1.366,0
1898,,24,85,61,146,Pm,-79454.36,4.275,8288.655,0.0293,1542,3,145914702.2,4.589,0
1899,,22,84,62,146,Sm,-80996.36,3.045,8293.8581,0.0209,-3878.7573,5.8685,145913046.8,3.269,0
1900,,20,83,63,146,Eu,-77117.603,6.009,8261.9327,0.0412,-1031.7798,7.075,145917210.9,6.451,0
1901,,18,82,64,146,Gd,-76085.823,4.076,8249.5072,0.0279,-8322.1791,44.7488,145918318.5,4.376,0
1902,,16,81,65,146,Tb,-67763.644,44.86,8187.1474,0.3073,-5208.7165,45.158,145927252.7,48.159,0
1903,,14,80,66,146,Dy,-62554.928,6.695,8146.1128,0.0459,-11316.7007,9.3917,145932844.5,7.187,0
1904,,12,79,67,146,Ho,-51238.227,6.587,8063.2426,0.0451,-6916.2074,9.3987,145944993.5,7.071,0
1905,,10,78,68,146,Er,-44322.019,6.705,8010.5127,0.0459,-13267,200,145952418.4,7.197,0
1906,,8,77,69,146,Tm,-31055,200,7914,1,,,145966661,215,1
1907,0,41,94,53,147,I,-31200,300,8001,2,11199,361,146966505,322,1
1908,,39,93,54,147,Xe,-42400,200,8072,1,9520,200,146954482,215,1
1909,,37,92,55,147,Cs,-51920.073,8.383,8131.801,0.057,8343.9631,21.4535,146944261.5,9,0
1910,,35,91,56,147,Ba,-60264.036,19.748,8183.2405,0.1343,6414.3615,22.466,146935303.9,21.2,0
1911,,33,90,57,147,La,-66678.397,10.712,8221.5536,0.0729,5335.5046,13.7248,146928417.8,11.5,0
1912,,31,89,58,147,Ce,-72013.902,8.58,8252.5274,0.0584,3430.1913,15.5317,146922689.9,9.211,0
1913,,29,88,59,147,Pr,-75444.093,15.855,8270.54,0.1079,2702.7013,15.8571,146919007.4,17.02,0
1914,,27,87,60,147,Nd,-78146.794,1.275,8283.6036,0.0087,895.1896,0.5664,146916106,1.368,0
1915,,25,86,61,147,Pm,-79041.984,1.288,8284.3712,0.0088,224.0638,0.294,146915144.9,1.382,0
1916,,23,85,62,147,Sm,-79266.048,1.262,8280.5734,0.0086,-1721.4367,2.2832,146914904.4,1.354,0
1917,,21,84,63,147,Eu,-77544.611,2.569,8263.5409,0.0175,-2187.6833,2.5273,146916752.4,2.758,0
1918,,19,83,64,147,Gd,-75356.928,1.887,8243.3366,0.0128,-4614.2543,8.1414,146919101,2.025,0
1919,,17,82,65,147,Tb,-70742.674,8.096,8206.625,0.0551,-6546.6266,11.9939,146924054.6,8.691,0
1920,,15,81,66,147,Dy,-64196.047,8.849,8156.768,0.0602,-8438.946,10.1644,146931082.7,9.5,0
1921,,13,80,67,147,Ho,-55757.101,5.001,8094.0381,0.034,-9149.2869,38.5173,146940142.3,5.368,0
1922,,11,79,68,147,Er,-46607.814,38.191,8026.476,0.2598,-10633.4071,38.7987,146949964.5,41,0
1923,,9,78,69,147,Tm,-35974.407,6.839,7948.8178,0.0465,,,146961379.9,7.341,0
1924,0,40,94,54,148,Xe,-38650,300,8047,2,8261,300,147958508,322,1
1925,,38,93,55,148,Cs,-46910.95,13.041,8097.5469,0.0881,10633.9614,13.1258,147949639,14,0
1926,,36,92,56,148,Ba,-57544.911,1.49,8164.1118,0.0101,5163.8307,19.5252,147938223,1.6,0
1927,,34,91,57,148,La,-62708.742,19.468,8193.7165,0.1315,7689.6824,22.4573,147932679.4,20.9,0
1928,,32,90,58,148,Ce,-70398.424,11.195,8240.3876,0.0756,2137.0282,12.5663,147924424.2,12.017,0
1929,,30,89,59,148,Pr,-72535.452,15.041,8249.5409,0.1016,4872.6133,15.0858,147922130,16.147,0
1930,,28,88,60,148,Nd,-77408.066,2.053,8277.1778,0.0139,-542.1891,5.8755,147916899,2.203,0
1931,,26,87,61,148,Pm,-76865.877,5.69,8268.2283,0.0384,2470.1898,5.6409,147917481.1,6.108,0
1932,,24,86,62,148,Sm,-79336.067,1.246,8279.6326,0.0084,-3038.5844,9.9657,147914829.2,1.337,0
1933,,22,85,63,148,Eu,-76297.482,9.961,8253.8155,0.0673,-28.063,9.9633,147918091.3,10.693,0
1934,,20,84,64,148,Gd,-76269.419,1.46,8248.3398,0.0099,-5732.4723,12.5208,147918121.4,1.566,0
1935,,18,83,65,148,Tb,-70536.947,12.463,8204.3207,0.0842,-2677.5501,9.5961,147924275.5,13.379,0
1936,,16,82,66,148,Dy,-67859.397,8.724,8180.943,0.0589,-9868.2304,84.2872,147927149.9,9.365,0
1937,,14,81,67,148,Ho,-57991.166,83.834,8108.9797,0.5664,-6512.1694,84.4583,147937743.9,90,0
1938,,12,80,68,148,Er,-51478.997,10.246,8059.6924,0.0692,-12713.963,14.4906,147944735,11,0
1939,,10,79,69,148,Tm,-38765.034,10.246,7968.5011,0.0692,-8535,400,147958384,11,0
1940,,8,78,70,148,Yb,-30230,400,7906,3,,,147967547,429,1
1941,0,41,95,54,149,Xe,-33000,300,8009,2,10300,500,148964573,322,1
1942,,39,94,55,149,Cs,-43300,400,8073,3,9531,400,148953516,429,1
1943,,37,93,56,149,Ba,-52830.62,2.515,8131.8495,0.0169,7389.301,200.2781,148943284,2.7,0
1944,,35,92,57,149,La,-60219.921,200.262,8176.1915,1.344,6450,200,148935351.3,214.99,0
1945,,33,91,58,149,Ce,-66669.921,10.246,8214.2294,0.0688,4369.4525,14.2296,148928426.9,11,0
1946,,31,90,59,149,Pr,-71039.373,9.874,8238.304,0.0663,3336.1617,10.0853,148923736.1,10.6,0
1947,,29,89,60,149,Nd,-74375.535,2.054,8255.4437,0.0138,1688.8697,2.4588,148920154.6,2.205,0
1948,,27,88,61,149,Pm,-76064.404,2.184,8261.5277,0.0147,1071.4936,1.8747,148918341.5,2.344,0
1949,,25,87,62,149,Sm,-77135.898,1.157,8263.4683,0.0078,-694.5812,3.7881,148917191.2,1.241,0
1950,,23,86,63,149,Eu,-76441.317,3.903,8253.556,0.0262,-1314.1437,4.1361,148917936.9,4.19,0
1951,,21,85,64,149,Gd,-75127.173,3.31,8239.4856,0.0222,-3638.5336,4.3388,148919347.7,3.553,0
1952,,19,84,65,149,Tb,-71488.639,3.629,8209.8153,0.0244,-3794.6493,9.1335,148923253.8,3.895,0
1953,,17,83,66,149,Dy,-67693.99,9.183,8179.0972,0.0616,-6048.1366,12.7928,148927327.5,9.858,0
1954,,15,82,67,149,Ho,-61645.854,11.985,8133.255,0.0804,-7904.2328,30.4066,148933820.5,12.866,0
1955,,13,81,68,149,Er,-53741.621,27.945,8074.9558,0.1875,-9801,202,148942306,30,0
1956,,11,80,69,149,Tm,-43940,200,8004,1,-10611,361,148952828,215,1
1957,,9,79,70,149,Yb,-33330,300,7927,2,,,148964219,322,1
1958,0,42,96,54,150,Xe,-28990,300,7983,2,9180,500,149968878,322,1
1959,,40,95,55,150,Cs,-38170,400,8039,3,11720,400,149959023,429,1
1960,,38,94,56,150,Ba,-49889.799,5.682,8111.8405,0.0379,6421.3477,6.2138,149946441.1,6.1,0
1961,,36,93,57,150,La,-56311.147,2.515,8149.4339,0.0168,8535.7155,11.9641,149939547.5,2.7,0
1962,,34,92,58,150,Ce,-64846.863,11.697,8201.123,0.078,3453.6462,14.2913,149930384,12.556,0
1963,,32,91,59,150,Pr,-68300.509,9.015,8218.9316,0.0601,5379.4422,9.0682,149926676.4,9.677,0
1964,,30,90,60,150,Nd,-73679.951,1.129,8249.5789,0.0075,-82.6155,20.001,149920901.3,1.211,0
1965,,28,89,61,150,Pm,-73597.336,20.031,8243.8125,0.1335,3454,20,149920990,21.504,0
1966,,26,88,62,150,Sm,-77051.336,1.112,8261.6235,0.0074,-2258.9662,6.1803,149917282,1.193,0
1967,,24,87,63,150,Eu,-74792.369,6.231,8241.3481,0.0415,971.6815,3.5428,149919707.1,6.688,0
1968,,22,86,64,150,Gd,-75764.051,6.055,8242.6103,0.0404,-4658.2621,8.3784,149918663.9,6.5,0
1969,,20,85,65,150,Tb,-71105.789,7.371,8206.3396,0.0491,-1796.1707,8.3886,149923664.8,7.912,0
1970,,18,84,66,150,Dy,-69309.618,4.319,8189.1495,0.0288,-7363.7264,14.4629,149925593.1,4.636,0
1971,,16,83,67,150,Ho,-61945.892,14.168,8134.8423,0.0945,-4114.5689,13.591,149933498.4,15.209,0
1972,,14,82,68,150,Er,-57831.323,17.194,8102.1962,0.1146,-11340,196,149937915.5,18.458,0
1973,,12,81,69,150,Tm,-46491,196,8021,1,-7661,358,149950090,210,1
1974,,10,80,70,150,Yb,-38830,300,7965,2,-14059,424,149958314,322,1
1975,,8,79,71,150,Lu,-24771,300,7866,2,,,149973407,322,1
1976,0,41,96,55,151,Cs,-34280,500,8013,3,10660,640,150963199,537,1
1977,,39,95,56,151,Ba,-44940,400,8079,3,8370,591,150951755,429,1
1978,,37,94,57,151,La,-53310.339,435.473,8129.0436,2.8839,7914.7191,435.833,150942769,467.5,0
1979,,35,93,58,151,Ce,-61225.058,17.698,8176.2779,0.1172,5554.6233,21.1885,150934272.2,19,0
1980,,33,92,59,151,Pr,-66779.681,11.65,8207.8824,0.0772,4163.5021,11.6789,150928309.1,12.506,0
1981,,31,91,60,151,Nd,-70943.183,1.133,8230.2741,0.0075,2443.0767,4.4734,150923839.4,1.215,0
1982,,29,90,61,151,Pm,-73386.26,4.611,8241.2723,0.0305,1190.2198,4.4757,150921216.6,4.949,0
1983,,27,89,62,151,Sm,-74576.48,1.11,8243.9735,0.0074,76.6182,0.5375,150919938.9,1.191,0
1984,,25,88,63,151,Eu,-74653.098,1.166,8239.2998,0.0077,-464.1779,2.7791,150919856.6,1.251,0
1985,,23,87,64,151,Gd,-74188.92,2.993,8231.0446,0.0198,-2565.3796,3.7615,150920354.9,3.212,0
1986,,21,86,65,151,Tb,-71623.541,4.094,8208.8743,0.0271,-2871.1525,4.9455,150923109,4.395,0
1987,,19,85,66,151,Dy,-68752.388,3.247,8184.6789,0.0215,-5129.6421,8.7507,150926191.3,3.486,0
1988,,17,84,67,151,Ho,-63622.746,8.298,8145.5267,0.055,-5356.4558,18.442,150931698.2,8.908,0
1989,,15,83,68,151,Er,-58266.29,16.47,8104.8723,0.1091,-7494.6768,25.4292,150937448.6,17.681,0
1990,,13,82,69,151,Tm,-50771.613,19.375,8050.0576,0.1283,-9229.2615,300.1329,150945494.4,20.799,0
1991,,11,81,70,151,Yb,-41542.352,300.492,7983.7556,1.99,-11242,425,150955402.5,322.591,0
1992,,9,80,71,151,Lu,-30300,300,7904,2,,,150967471,322,1
1993,0,42,97,55,152,Cs,-29130,500,7980,3,12480,640,151968728,537,1
1994,,40,96,56,152,Ba,-41610,400,8057,3,7680,500,151955330,429,1
1995,,38,95,57,152,La,-49290,300,8102,2,9690,361,151947085,322,1
1996,,36,94,58,152,Ce,-58980,200,8161,1,4778,201,151936682,215,1
