0,1,N-Z,N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,BETA_DECAYENERGY,dBETA_DECAYENERGY,ATOMICMASS,dATOMICMASS,IsCalculated
395,,9,28,19,47,K,-35711.982,1.397,8514.8795,0.0297,6632.6837,2.6237,46961661.61,1.5,0
396,,7,27,20,47,Ca,-42344.665,2.221,8639.3548,0.0473,1992.177,1.1849,46954541.13,2.384,0
397,,5,26,21,47,Sc,-44336.842,1.931,8665.0958,0.0411,600.7694,1.9292,46952402.44,2.072,0
398,,3,25,22,47,Ti,-44937.612,0.08,8661.2325,0.0017,-2930.5422,0.0879,46951757.49,0.085,0
399,,1,24,23,47,V,-42007.07,0.11,8582.2348,0.0024,-7443.9769,5.1976,46954903.56,0.118,0
400,,-1,23,24,47,Cr,-34563.093,5.197,8407.2067,0.1106,-11996.7167,32.0943,46962895,5.578,0
401,,-3,22,25,47,Mn,-22566.376,31.671,8135.3117,0.6738,-15437,501,46975774,34,0
402,,-5,21,26,47,Fe,-7130,500,7790,11,-17750,781,46992346,537,1
403,,-7,20,27,47,Co,10620,600,7396,13,,,47011401,644,1
404,0,16,32,16,48,S,12390,500,7552,10,16670,707,48013301,537,1
405,,14,31,17,48,Cl,-4280,500,7883,10,18075,500,47995405,537,1
406,,12,30,18,48,Ar,-22354.927,16.767,8243.6656,0.3493,9929.555,16.7847,47976001,18,0
407,,10,29,19,48,K,-32284.482,0.773,8434.2324,0.0161,11940.3857,0.7734,47965341.18,0.83,0
408,,8,28,20,48,Ca,-44224.868,0.018,8666.6916,0.0004,279.2155,4.9499,47952522.65,0.018,0
409,,6,27,21,48,Sc,-44504.083,4.95,8656.2097,0.1031,3988.8685,4.9499,47952222.9,5.313,0
410,,4,26,22,48,Ti,-48492.952,0.074,8723.0122,0.0016,-4014.9467,0.9691,47947940.68,0.079,0
411,,2,25,23,48,V,-44478.005,0.972,8623.0686,0.0202,-1656.6918,7.3746,47952250.9,1.043,0
412,,0,24,24,48,Cr,-42821.313,7.311,8572.2553,0.1523,-13524.6692,9.9157,47954029.43,7.848,0
413,,-2,23,25,48,Mn,-29296.644,6.699,8274.1924,0.1396,-11288.0685,92.4609,47968548.76,7.191,0
