N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,IsCalculated
97, 67, 164, Ho, -64989.854, 3.214, 1336269.130, 3.222, 0
96, 68, 164, Er, -65952.319, 3.405, 1336449.240, 3.412, 0
95, 69, 164, Tm, -61990.319, 20.288, 1331704.887, 20.289, 0
94, 70, 164, Yb, -60994, 102, 1329926, 102, 1
93, 71, 164, Lu, -54744, 136, 1322894, 136, 1
92, 72, 164, Hf, -51770, 196, 1319138, 196, 1
91, 73, 164, Ta, -43249, 401, 1309834, 401, 1
90, 74, 164, W, -38281.123, 32.983, 1304083.921, 32.984, 0
89, 75, 164, Re, -27548, 310, 1292568, 310, 1
88, 76, 164, Os, -20561, 357, 1284799, 357, 1
101, 64, 165, Gd, -56467, 503, 1338165, 503, 1
100, 65, 165, Tb, -60659, 298, 1341574, 298, 1
99, 66, 165, Dy, -63621.135, 3.061, 1343754.088, 3.069, 0
98, 67, 165, Ho, -64907.331, 3.002, 1344257.930, 3.011, 0
97, 68, 165, Er, -64531.048, 3.417, 1343099.293, 3.425, 0
96, 69, 165, Tm, -62938.543, 3.650, 1340724.434, 3.657, 0
95, 70, 165, Yb, -60176.543, 20.330, 1337180.080, 20.332, 0
94, 71, 165, Lu, -56256.543, 82.543, 1332477.727, 82.543, 0
93, 72, 165, Hf, -51661, 374, 1327100, 374, 1
92, 73, 165, Ta, -45813, 222, 1320470, 222, 1
91, 74, 165, W, -38808.549, 87.327, 1312682.671, 87.327, 0
90, 75, 165, Re, -30691.586, 74.025, 1303783.353, 74.025, 0
89, 76, 165, Os, -21914, 310, 1294223, 310, 1
101, 65, 166, Tb, -57706, 401, 1346693, 401, 1
100, 66, 166, Dy, -62593.312, 3.087, 1350797.588, 3.095, 0
99, 67, 166, Ho, -63079.648, 3.002, 1350501.570, 3.011, 0
98, 68, 166, Er, -64934.121, 2.959, 1351573.689, 2.968, 0
97, 69, 166, Tm, -61894.121, 11.482, 1347751.336, 11.484, 0
96, 70, 166, Yb, -61590.473, 8.303, 1346665.333, 8.306, 0
95, 71, 166, Lu, -56110.473, 160.215, 1340402.979, 160.215, 0
94, 72, 166, Hf, -53794, 298, 1337304, 298, 1
93, 73, 166, Ta, -46137, 298, 1328865, 298, 1
92, 74, 166, W, -41897.667, 12.140, 1323843.111, 12.142, 0
91, 75, 166, Re, -32533.600, 141.527, 1313696.690, 141.527, 0
90, 76, 166, Os, -26270.665, 101.562, 1306651.401, 101.562, 0
89, 77, 166, Ir, -13501, 510, 1293099, 510, 1
102, 65, 167, Tb, -55843, 503, 1352901, 503, 1
101, 66, 167, Dy, -59942.224, 60.277, 1356217.823, 60.277, 0
100, 67, 167, Ho, -62292.224, 5.770, 1357785.469, 5.775, 0
99, 68, 167, Er, -63298.921, 2.949, 1358009.812, 2.959, 0
98, 69, 167, Tm, -62550.623, 3.121, 1356479.160, 3.130, 0
97, 70, 167, Yb, -60596.333, 4.891, 1353742.516, 4.897, 0
96, 71, 167, Lu, -57466.333, 100.120, 1349830.163, 100.120, 0
95, 72, 167, Hf, -53468, 205, 1345049, 205, 1
94, 73, 167, Ta, -47844, 415, 1338643, 415, 1
93, 74, 167, W, -42224, 315, 1332241, 315, 1
92, 75, 167, Re, -34841, 133, 1324076, 133, 1
91, 76, 167, Os, -26655, 310, 1315107, 310, 1
90, 77, 167, Ir, -17057, 373, 1304727, 373, 1
102, 66, 168, Dy, -58470, 298, 1362817, 298, 1
101, 67, 168, Ho, -60084.360, 28.886, 1363648.929, 28.887, 0
100, 68, 168, Er, -62998.672, 2.951, 1365780.887, 2.960, 0
99, 69, 168, Tm, -61319.641, 3.303, 1363319.501, 3.312, 0
98, 70, 168, Yb, -61576.648, 4.465, 1362794.154, 4.471, 0
97, 71, 168, Lu, -57101.648, 80.124, 1357536.801, 80.125, 0
96, 72, 168, Hf, -55303, 102, 1354956, 102, 1
95, 73, 168, Ta, -48633, 368, 1347504, 368, 1
94, 74, 168, W, -44839, 196, 1342927, 196, 1
93, 75, 168, Re, -35761, 401, 1333067, 401, 1
92, 76, 168, Os, -30037.482, 33.126, 1326560.865, 33.127, 0
91, 77, 168, Ir, -18712, 314, 1314453, 314, 1
90, 78, 168, Pt, -11146, 358, 1306104, 358, 1
103, 66, 169, Dy, -55606.471, 300.682, 1368024.716, 300.682, 0
102, 67, 169, Ho, -58806.471, 20.243, 1370442.362, 20.244, 0
101, 68, 169, Er, -60930.476, 2.961, 1371784.013, 2.971, 0
100, 69, 169, Tm, -61281.692, 2.935, 1371352.876, 2.945, 0
99, 70, 169, Yb, -60372.548, 4.463, 1369661.377, 4.469, 0
98, 71, 169, Lu, -58079.548, 5.378, 1366586.023, 5.383, 0
97, 72, 169, Hf, -54810.182, 82.249, 1362534.303, 82.249, 0
96, 73, 169, Ta, -50375, 205, 1357317, 205, 1
95, 74, 169, W, -44936, 315, 1351096, 315, 1
94, 75, 169, Re, -38350, 205, 1343727, 205, 1
93, 76, 169, Os, -30666.038, 100.628, 1335260.744, 100.628, 0
92, 77, 169, Ir, -21990.875, 89.329, 1325803.227, 89.329, 0
91, 78, 169, Pt, -12649, 314, 1315679, 314, 1
103, 67, 170, Ho, -56247.988, 50.098, 1375955.203, 50.098, 0
102, 68, 170, Er, -60117.988, 3.125, 1379042.849, 3.134, 0
101, 69, 170, Tm, -59803.633, 2.962, 1377946.139, 2.972, 0
100, 70, 170, Yb, -60771.664, 2.913, 1378131.817, 2.923, 0
99, 71, 170, Lu, -57312.526, 18.797, 1373890.325, 18.798, 0
98, 72, 170, Hf, -56216, 196, 1372011, 196, 1
97, 73, 170, Ta, -50217, 196, 1365230, 196, 1
96, 74, 170, W, -47998.069, 347.755, 1362228.806, 347.755, 0
95, 75, 170, Re, -38971, 404, 1352419, 404, 1
94, 76, 170, Os, -33932.307, 12.722, 1346598.336, 12.724, 0
93, 77, 170, Ir, -23935.609, 150.099, 1335819.284, 150.099, 0
92, 78, 170, Pt, -17142.018, 101.763, 1328243.339, 101.764, 0
104, 67, 171, Ho, -54528.197, 600.008, 1382306.735, 600.008, 0
103, 68, 171, Er, -57728.197, 3.141, 1384724.381, 3.150, 0
102, 69, 171, Tm, -59218.709, 2.978, 1385432.539, 2.988, 0
101, 70, 171, Yb, -59315.138, 2.830, 1384746.614, 2.841, 0
100, 71, 171, Lu, -57836.302, 3.155, 1382485.424, 3.164, 0
99, 72, 171, Hf, -55433, 196, 1379300, 196, 1
98, 73, 171, Ta, -51735, 205, 1374820, 205, 1
97, 74, 171, W, -47162, 279, 1369464, 279, 1
96, 75, 171, Re, -41492, 344, 1363011, 344, 1
95, 76, 171, Os, -34429, 311, 1355166, 311, 1
94, 77, 171, Ir, -26257, 133, 1346212, 133, 1
93, 78, 171, Pt, -17623, 314, 1336796, 314, 1
104, 68, 172, Er, -56492.794, 4.849, 1391560.300, 4.855, 0
103, 69, 172, Tm, -57383.342, 6.151, 1391668.495, 6.156, 0
102, 70, 172, Yb, -59263.534, 2.823, 1392766.333, 2.834, 0
101, 71, 172, Lu, -56744.282, 3.328, 1389464.727, 3.337, 0
100, 72, 172, Hf, -56394.282, 50.111, 1388332.373, 50.111, 0
99, 73, 172, Ta, -51474.282, 186.845, 1382630.019, 186.845, 0
98, 74, 172, W, -48974, 274, 1379348, 274, 1
97, 75, 172, Re, -41648, 309, 1371239, 309, 1
96, 76, 172, Os, -37187, 196, 1365996, 196, 1
95, 77, 172, Ir, -27346, 401, 1355372, 401, 1
94, 78, 172, Pt, -21148.025, 33.379, 1348391.992, 33.379, 0
93, 79, 172, Au, -9187, 373, 1335649, 373, 1
105, 68, 173, Er, -53663, 196, 1396802, 196, 1
104, 69, 173, Tm, -56261.676, 5.290, 1398618.152, 5.296, 0
103, 70, 173, Yb, -57559.778, 2.803, 1399133.899, 2.813, 0
102, 71, 173, Lu, -56888.979, 2.833, 1397680.747, 2.843, 0
101, 72, 173, Hf, -55284, 102, 1395294, 102, 1
100, 73, 173, Ta, -51614, 225, 1390841, 225, 1
99, 74, 173, W, -47614, 375, 1386059, 375, 1
98, 75, 173, Re, -43722, 450, 1381384, 450, 1
97, 76, 173, Os, -37454, 311, 1374334, 311, 1
96, 77, 173, Ir, -30080, 228, 1366178, 228, 1
95, 78, 173, Pt, -21888.164, 112.365, 1357203.455, 112.365, 0
94, 79, 173, Au, -12669.164, 102.370, 1347202.100, 102.371, 0
106, 68, 174, Er, -52117, 298, 1403327, 298, 1
105, 69, 174, Tm, -53873.053, 44.809, 1404300.852, 44.810, 0
104, 70, 174, Yb, -56953.053, 2.803, 1406598.498, 2.813, 0
103, 71, 174, Lu, -55578.722, 2.805, 1404441.813, 2.815, 0
102, 72, 174, Hf, -55850.952, 3.281, 1403931.689, 3.290, 0
101, 73, 174, Ta, -52005.952, 80.067, 1399304.335, 80.068, 0
100, 74, 174, W, -50152, 298, 1396668, 298, 1
99, 75, 174, Re, -44605, 348, 1390338, 348, 1
98, 76, 174, Os, -40701.010, 347.604, 1385652.331, 347.604, 0
97, 77, 174, Ir, -30922, 404, 1375091, 404, 1
96, 78, 174, Pt, -25323.850, 13.521, 1368710.464, 13.523, 0
95, 79, 174, Au, -14728.571, 150.448, 1357332.830, 150.448, 0
94, 80, 174, Hg, -7497, 143, 1349319, 143, 1
106, 69, 175, Tm, -52319.061, 50.078, 1410818.183, 50.079, 0
105, 70, 175, Yb, -54704.061, 2.803, 1412420.829, 2.813, 0
104, 71, 175, Lu, -55174.098, 2.619, 1412108.512, 2.630, 0
103, 72, 175, Hf, -54488.343, 3.305, 1410640.403, 3.314, 0
102, 73, 175, Ta, -52490, 102, 1407859, 102, 1
101, 74, 175, W, -49583, 196, 1404171, 196, 1
100, 75, 175, Re, -45277, 451, 1399082, 451, 1
99, 76, 175, Os, -40024, 302, 1393047, 302, 1
98, 77, 175, Ir, -33447, 351, 1385688, 351, 1
97, 78, 175, Pt, -25825, 311, 1377283, 311, 1
96, 79, 175, Au, -17054, 133, 1367730, 133, 1
95, 80, 175, Hg, -8159, 318, 1358052, 318, 1
